Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0.854,20.6165809126789,24.8506222754931,0.244468450150977,31.6172821297465,0.313041094500172,0.00157731495291469,1.13535511086123
0.855,20.6165807862184,24.8822395586311,0.244781491267991,31.6172833196974,0.313041025126087,0.00157731624320803,1.13535510389705
0.856,20.6165806596738,24.9138568427147,0.245094532327817,31.61728433131,0.313040959953798,0.0015773176000512,1.13535509692824
0.857,20.6165805336891,24.9454741275224,0.245407573333553,31.6172851550453,0.313040899419022,0.00157731901815406,1.13535508999026
0.858,20.6165804088752,24.977091412839,0.245720614288443,31.6172857828225,0.313040843912182,0.00157732049214127,1.13535508311676
0.859,20.6165802858102,25.008708698456,0.246033655195883,31.6172862080187,0.313040793778408,0.00157732201655231,1.13535507633957
0.86,20.6165801650391,25.0403259841708,0.246346696059414,31.6172864254694,0.31304074931754,0.00157732358584139,1.1353550696887
0.861,20.616580047074,25.0719432697877,0.246659736882728,31.6172864314676,0.313040710784122,0.00157732519437759,1.13535506319237
0.862,20.6165799323943,25.1035605551169,0.246972777669663,31.6172862237649,0.313040678387406,0.00157732683644465,1.13535505687695
0.863,20.616579821446,25.1351778399753,0.247285818424207,31.6172858015705,0.313040652291354,0.00157732850624115,1.13535505076703
0.864,20.6165797146426,25.166795124186,0.247598859150496,31.6172851655519,0.313040632614631,0.00157733019788042,1.13535504488537
0.865,20.6165796123644,25.1984124075786,0.247911899852813,31.6172843178345,0.313040619430613,0.00157733190539069,1.1353550392529
0.866,20.6165795149588,25.230029689989,0.248224940535592,31.6172832620019,0.313040612767382,0.00157733362271481,1.13535503388878
0.867,20.6165794227405,25.2616469712595,0.248537981203413,31.6172820030955,0.313040612607726,0.00157733534371041,1.13535502881032
0.868,20.6165793359909,25.2932642512387,0.248851021861006,31.617280547615,0.313040618889142,0.00157733706215013,1.13535502403302
0.869,20.6165792549587,25.3248815297818,0.249164062513247,31.617278903518,0.313040631503834,0.0015773387717212,1.13535501957058
0.87,20.6165791798596,25.3564988067501,0.249477103165164,31.6172770802201,0.313040650298713,0.00157734046602553,1.13535501543487
0.871,20.6165791108763,25.3881160820114,0.249790143821929,31.6172750885951,0.313040675075397,0.0015773421385801,1.13535501163596
0.872,20.6165790481587,25.41973335544,0.250103184488866,31.6172729409748,0.313040705590211,0.00157734378281649,1.1353550081821
0.873,20.6165789918236,25.4513506269163,0.250416225171446,31.6172706511488,0.313040741554189,0.00157734539208099,1.13535500507973
0.874,20.6165789419551,25.4829678963273,0.250729265875288,31.6172682343651,0.31304078263307,0.00157734695963485,1.13535500233347
0.875,20.616578898604,25.5145851635662,0.25104230660616,31.6172657073295,0.313040828447303,0.00157734847865409,1.13535499994612
0.876,20.6165788617884,25.5462024285329,0.251355347369978,31.6172630882059,0.313040878572041,0.0015773499422293,1.13535499791869
0.877,20.6165788314936,25.5778196911333,0.251668388172805,31.6172603966163,0.313040932537148,0.00157735134336606,1.13535499625035
0.878,20.6165788076716,25.6094369512798,0.251981429020855,31.6172576536407,0.313040989827192,0.00157735267498471,1.13535499493848
0.879,20.6165787902418,25.6410542088914,0.252294469920489,31.6172548818172,0.31304104988145,0.0015773539299202,1.13535499397862
0.88,20.6165787790904,25.672671463893,0.252607510878217,31.6172521051417,0.313041112093906,0.0015773551009225,1.13535499336451
0.881,20.6165787740708,25.7042887162164,0.252920551900695,31.6172493490686,0.313041175813251,0.00157735618065624,1.13535499308808
0.882,20.6165787750035,25.7359059657995,0.25323359299473,31.6172466405098,0.313041240342884,0.00157735716170082,1.13535499313944
0.883,20.616578781676,25.7675232125866,0.253546634167277,31.6172440078356,0.31304130494091,0.0015773580365504,1.1353549935069
0.884,20.6165787938428,25.7991404565283,0.253859675425438,31.6172414808743,0.313041368820143,0.001577358797614,1.13535499417692
0.885,20.6165788112255,25.8307576975817,0.254172716776465,31.6172390909122,0.313041431148103,0.00157735943721543,1.13535499513419
0.886,20.6165788334857,25.8623749357604,0.254485758225106,31.6172368631317,0.313041491217461,0.00157735995073915,1.13535499636006
0.887,20.6165788598256,25.8939921719944,0.254798799726904,31.6172346809119,0.313041551534091,0.00157736039185258,1.13535499781059
0.888,20.6165788899237,25.9256094066117,0.255111841266857,31.6172325064733,0.313041612889228,0.00157736077880316,1.1353549994681
0.889,20.616578923674,25.9572266395757,0.255424882848968,31.617230355657,0.313041674872738,0.00157736110722717,1.13535500132673
0.89,20.6165789609607,25.9888438708592,0.255737924476837,31.6172282433293,0.313041737094376,0.00157736137325387,1.1353550033801
0.891,20.6165790016578,26.0204611004441,0.256050966153664,31.6172261833816,0.313041799183787,0.00157736157350541,1.1353550056213
