Time,Current,Speed
0.586,1.65185521910156,192.337199733079
0.588,1.65511093052478,192.329884812684
0.59,1.65827268375027,192.323118996302
0.592,1.66134163538766,192.316886123142
0.594,1.66431896861536,192.311170263603
0.596,1.66720589066641,192.305955711181
0.598,1.67000364270982,192.301226845308
0.6,1.67271353987705,192.296968182633
0.602,1.67533691133298,192.293164499902
0.604,1.67787509194628,192.289800835358
0.606,1.68032942228943,192.286862488738
0.608,1.68270124863869,192.284335021273
0.61,1.68499192297409,192.282204255692
0.612,1.68720280297948,192.280456276215
0.614,1.68933525204246,192.279077428561
0.616,1.69139063925446,192.278054319942
0.618,1.69337033941066,192.277373819065
0.62,1.6952757307606,192.277023023773
0.622,1.69710821838386,192.276989137482
0.624,1.69886924349593,192.277259639456
0.626,1.70056024082463,192.277822272257
0.628,1.70218263649986,192.27866503522
0.63,1.70373784805366,192.279776184453
0.632,1.70522728442013,192.281144232841
0.634,1.70665234593551,192.282757950042
0.636,1.70801442433812,192.284606362485
0.638,1.7093149027684,192.286678753378
0.64,1.71055515576889,192.2889646627
0.642,1.71173654928423,192.291453887204
0.644,1.71286044059909,192.294136479123
0.646,1.71392818343507,192.29700261514
0.648,1.71494115614228,192.300042715616
0.65,1.71590073118544,192.3032474992
0.652,1.71680826404915,192.30660791097
0.654,1.7176650932378,192.310115122435
0.656,1.71847254027564,192.313760531537
0.658,1.71923190970674,192.31753576265
0.66,1.719944489095,192.321432666577
0.662,1.72061154902416,192.325443320554
0.664,1.72123434309779,192.329560028248
0.666,1.72181410793929,192.333775319757
0.668,1.72235206319191,192.338081951612
0.67,1.72284941151869,192.342472906773
0.672,1.72330734071893,192.346941342919
0.674,1.72372704454798,192.351480502479
0.676,1.72410971142161,192.356084016318
0.678,1.72445650966433,192.360745715504
0.68,1.72476858733941,192.365459610344
0.682,1.7250470722489,192.370219890383
0.684,1.72529307193364,192.375020924408
0.686,1.72550767367324,192.379857260445
0.688,1.72569194448612,192.384723625758
0.69,1.72584693112944,192.389614926853
0.692,1.72597366009917,192.394526249473
0.694,1.72607313763004,192.399452858603
0.696,1.72614634969558,192.404390198467
0.698,1.7261942620081,192.409333892527
0.7,1.72621782001866,192.414279743486
0.702,1.726217956772,192.419223629093
0.704,1.72619560948927,192.424161518944
0.706,1.72615169051713,192.429089812539
0.708,1.72608709231828,192.434005043916
0.71,1.7260026880062,192.438903869932
0.712,1.72589933134514,192.44378307026
0.714,1.72577785675007,192.448639547393
0.716,1.72563907928677,192.45347032664
0.718,1.72548379467175,192.458272556127
0.72,1.7253127792723,192.463043506801
0.722,1.72512679010644,192.467780572422
