Time,tau_m,tau_ext,theta_m,q,d_theta_m,d_q,dd_theta_m,dd_q
1.05,-0.0156624630660359,0,164.050769216261,1.64113406079585,74.0167621279474,0.747030026536196,-663.586518896869,-5.64578673281617
1.052,-0.0193417939360999,0,164.197381816964,1.64255093699247,72.6480891935991,0.735808929478267,-704.724792227133,-5.66350976970188
1.054,-0.0232802775063006,0,164.34116971472,1.64393794908288,71.2004049874872,0.724092711432438,-741.701458808802,-5.73859111314713
1.056,-0.0272689434078398,0,164.481988678029,1.64529753264314,69.6848950822421,0.711780154029908,-771.750772965534,-5.87335694319117
1.058,-0.0310958399733556,0,164.619723128311,1.64663302528188,68.1177454375305,0.698790817278315,-792.692468524735,-6.065193408866
1.06,-0.0345620973268441,0,164.754294414264,1.64794829068238,66.5187822123917,0.68507260809035,-803.109029421956,-6.30661643084556
1.062,-0.0374969095739089,0,164.885665891075,1.64924719655314,64.9098188187469,0.67060859585781,-802.458902735308,-6.58575027170944
1.064,-0.039770212585556,0,165.013844454129,1.65053304378079,63.3128490130359,0.655422335791416,-791.116000971801,-6.88717901926843
1.066,-0.0413020247314829,0,165.138878465382,1.65180803831312,61.748237585462,0.639580555048658,-770.331976699683,-7.19310162497133
1.068,-0.0420676942024687,0,165.260852292259,1.65307287104078,60.2330606321558,0.623192099867238,-742.124252946543,-7.48469436607777
1.07,-0.0420986353535275,0,165.379877952313,1.65432644858554,58.7797353245589,0.606402556243012,-709.099125430527,-7.74356934000086
1.072,-0.0414785097049687,0,165.496084602736,1.65556580557452,57.3950551759645,0.589384694426452,-674.224875756283,-7.95321211298645
1.074,-0.0403351839105088,0,165.609606799688,1.65678621642845,56.0797127582306,0.572325608868538,-640.574242981982,-8.10028245187651
1.076,-0.0388291459083806,0,165.720572556058,1.65798150728769,54.8283504396534,0.555412049004733,-611.058376321224,-8.17566955321053
1.078,-0.037139352687061,0,165.829092241312,1.659144550948,53.6301344989229,0.538815868453893,-588.175247081289,-8.17521050626303
1.08,-0.0354476944010983,0,165.935249289831,1.66026790928155,52.4698026926717,0.522681520296206,-573.794312412909,-8.1000087825839
1.082,-0.0339233724580203,0,166.039093516029,1.66134456507904,51.3290939305673,0.507116945513311,-568.996067937409,-7.95632475327084
1.084,-0.0327084943241289,0,166.140637593345,1.66236866380942,50.1884350882884,0.492188275116486,-573.980272367058,-7.75504720868681
1.086,-0.0319060847654956,0,166.239856970221,1.66333617617749,49.0287376316459,0.477917989847142,-588.050528769724,-7.51078965630401
1.088,-0.0315715106245958,0,166.336693198603,1.66424539957895,47.8331479056849,0.464285912342501,-609.676150920479,-7.24068542536446
1.09,-0.0317080308685956,0,166.43106036402,1.66509723822946,46.5886003055935,0.451232628770839,-636.625477524671,-6.96297963110868
1.092,-0.0322668392331308,0,166.522854052045,1.66589523209422,45.2870411249659,0.438665318118705,-666.158654045015,-6.69553304319667
1.094,-0.033151591924736,0,166.611962081817,1.66664533724788,43.9262204366167,0.426466096595036,-695.262926078023,-6.45436217195586
1.096,-0.0342270386607224,0,166.698276099277,1.66735549100874,42.5099869448858,0.41450268830568,-720.910084444298,-6.25233947397009
1.098,-0.0353310328853621,0,166.781703061537,1.66803502130764,41.0480631369782,0.402640726690967,-740.314109507635,-6.09816539616735
1.1,-0.0362889147393868,0,166.862175655137,1.66869397077829,39.5553218390522,0.390756606160654,-751.167352552386,-5.99570043030876
1.102,-0.0369290617162383,0,166.939660761225,1.66934238951579,38.0506268110223,0.378749630809552,-751.835682215063,-5.94371356180743
1.104,-0.0370983034150942,0,167.014165211943,1.66998961686513,36.5553357770197,0.366552149822822,-741.496695147981,-5.93606713413663
1.106,-0.0366759065917254,0,167.085738295826,1.67064355796112,35.0915913947009,0.354136393874773,-720.210011668408,-5.96232010006422
1.108,-0.0355849540204795,0,167.154470770076,1.67130998906341,33.6805421215193,0.341516941525364,-688.914434437321,-6.00869497177135
1.11,-0.0338001557987694,0,167.220490482726,1.67199197855629,32.3406396962401,0.328748312281492,-649.352872010677,-6.05932298299655
1.112,-0.0313514268178118,0,167.283955026985,1.67268954142815,31.0861527879232,0.315918100220324,-603.931924884675,-6.09766129015794
1.114,-0.0283229147211803,0,167.345042085597,1.67339962008572,29.9260177088282,0.303136997362244,-555.528410359797,-6.10796654260024
1.116,-0.0248475396996264,0,167.403938259756,1.67411640996499,28.8631182293538,0.290527584861348,-507.25941710943,-6.07670916566859
1.118,-0.0210974796547685,0,167.460827239547,1.6748319662013,27.8940498388333,0.278213729499596,-462.235364747655,-5.99382029406078
1.12,-0.0172713707322398,0,167.515878190583,1.67553697870616,27.0093824882431,0.266311884522429,-423.316747176346,-5.85367653328132
1.122,-0.0135792660632703,0,167.569235209861,1.6762215974955,26.1943935788442,0.25492469363051,-392.894652827338,-5.65574475836358
1.124,-0.0102265821240261,0,167.62100863098,1.6768762136649,25.4302035774915,0.244136315767611,-372.712832180507,-5.40482997472434
1.126,-0.00739834693967053,0,167.671268826468,1.67749213655516,24.6952139405485,0.23400831150507,-363.745236041559,-5.11089553251781
1.128,-0.00524504037801123,0,167.720042963931,1.67806213972034,23.9667241375109,0.224575139335967,-366.137931175916,-4.78845729619181
1.13,-0.00387118597191592,0,167.767314933567,1.67858086772261,23.2225932891994,0.215839187201205,-379.218572805727,-4.45558905422705
1.132,-0.00332762691519048,0,167.81302840044,1.67904510275178,22.4428126293077,0.20776624238666,-401.570695818509,-4.1326095416995
1.134,-0.00360811488885246,0,167.857092674486,1.67945388941506,21.61086693509,0.200282804859818,-431.164509704073,-3.84054581954719
1.136,-0.0046504843903796,0,167.899390862892,1.67980851386569,20.7147848662241,0.193276489224959,-465.531144448408,-3.59948173358552
1.138,-0.00634230676593757,0,167.939789601855,1.68011233919066,19.7478079093748,0.18660018220972,-501.963818650365,-3.42690674059619
1.14,-0.00853054855689009,0,167.978149574269,1.68037051518667,18.7086428345149,0.180079986157577,-537.727496694278,-3.33618248449673
1.142,-0.0110344287008714,0,168.014336002976,1.68058959600407,17.6013000287512,0.173526452209565,-570.258439358046,-3.33524245016382
1.144,-0.0136604059289138,0,168.048228355689,1.68077710271663,16.4345562220274,0.166748196463148,-597.336648921254,-3.42563274981898
1.146,-0.0162180531798374,0,168.079728599908,1.68094105841423,15.2211114988477,0.159566699043687,-617.217422953695,-3.60198773659194
1.148,-0.0185355044609846,0,168.108767495423,1.68108950517939,13.9765340610474,0.151830898492713,-628.712760747247,-3.85201024951346
1.15,-0.0204731972147369,0,168.135308602403,1.68122999757665,12.7180996629712,0.143430102103768,-631.218773314878,-4.15699203337929
1.152,-0.0219347767538937,0,168.159349908924,1.68136907237596,11.4636347818351,0.13430383868841,-624.690984722867,-4.49286776908858
1.154,-0.0228742667743719,0,168.180923220976,1.68151172031092,10.2304634438605,0.124447737910472,-609.574868734102,-4.83175128187117
1.156,-0.0232989216174563,0,168.200091672202,1.68166091683613,9.03453825950072,0.113915248409392,-586.703521976361,-5.14386000689699
1.158,-0.0232675359569942,0,168.216945866608,1.68181729064626,7.88980857088568,0.102815584885967,-557.177470485627,-5.39969717546743
1.16,-0.0228843660422506,0,168.231599244602,1.68197901351491,6.80784575165395,0.0913083795513398,-522.242800758786,-5.57233277591748
1.162,-0.0222891821186178,0,168.24418324946,1.68214197661694,5.79771195894384,0.0795952821080293,-483.182845174926,-5.63960528130634
1.164,-0.0216442938377117,0,168.254842771061,1.68230027701609,4.86602894296475,0.067908646186873,-441.235520183083,-5.58605589235431
1.166,-0.0211196426120048,0,168.263732179285,1.68244698388948,4.01718231756742,0.0564976239952483,-397.543384731216,-5.4044067506327
1.168,-0.0208772160368954,0,168.2710120644,1.68257510086047,3.25358735760055,0.0456123531757423,-353.137140877548,-5.09641006345707
1.17,-0.0210560963147698,0,168.276846612072,1.68267859873655,2.57594685230202,0.0354873423775524,-308.946536294666,-4.67293275735578
1.172,-0.0217594023509669,0,168.281401390166,1.68275336787227,1.98344967560855,0.0263255002076477,-265.82662905733,-4.15320281109977
1.174,-0.0230442281820744,0,168.284841241827,1.682797934484,1.47388780500709,0.0182843427223544,-224.583542291172,-3.56322771206334
1.176,-0.0249154316665631,0,168.287327988712,1.68281380729122,1.04370402695719,0.0114657827383317,-185.983707680253,-2.93350244582878
